"Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25","Topic 26","Topic 27","Topic 28","Topic 29","Topic 30","Topic 31","Topic 32","Topic 33","Topic 34","Topic 35","Topic 36","Topic 37","Topic 38","Topic 39","Topic 40","Topic 41","Topic 42","Topic 43","Topic 44","Topic 45","Topic 46","Topic 47","Topic 48","Topic 49","Topic 50","Topic 51","Topic 52","Topic 53","Topic 54","Topic 55","Topic 56","Topic 57","Topic 58","Topic 59","Topic 60","Topic 61","Topic 62","Topic 63","Topic 64","Topic 65","Topic 66","Topic 67","Topic 68","Topic 69","Topic 70","Topic 71","Topic 72","Topic 73","Topic 74","Topic 75","Topic 76","Topic 77","Topic 78","Topic 79","Topic 80","Topic 81","Topic 82","Topic 83","Topic 84","Topic 85","Topic 86","Topic 87","Topic 88","Topic 89","Topic 90","Topic 91","Topic 92","Topic 93","Topic 94","Topic 95","Topic 96","Topic 97","Topic 98","Topic 99","Topic 100"
"attack","cook","award","film","court","hotel","one","said","tax","saudi","cancer","energi","valeant","church","israel","rousseff","art","state","state","design","turkey","health","zika","citi","research","food","vote","north","syria","order","one","china","town","game","militari","mexico","new","gold","design","angel","media","skin","play","will","polic","prison","car","compani","british","restaur","cuba","india","player","dog","book","use","pick","weight","smith","black","clinton","build","race","music","well","can","law","nation","job","famili","anim","marijuana","show","gay","music","said","run","war","like","compani","school","compani","volkswagen","women","flight","water","govern","percent","trump","editor","said","photograph","april","day","game","die","bond","space","sea","wine"
"brussel","food","read","movi","judg","travel","seem","report","million","muslim","cell","climat","drug","religi","isra","presid","museum","governor","unit","room","refuge","care","virus","mayor","studi","farm","state","korea","russia","roger","day","chines","land","point","forc","texa","york","disney","fashion","los","post","hair","show","year","offic","charg","driver","bank","european","bar","cuban","indian","team","argentina","write","appl","draft","abort","lee","american","sander","hous","hors","song","run","one","state","africa","worker","children","bird","high","televis","peopl","perform","year","game","jewish","get","busi","student","money","car","men","airport","lead","parti","rate","republican","read","fire","watch","street","green","goal","der","million","light","island","produc"
"pari","recip","cultur","star","justic","beach","like","investig","money","arabia","treatment","chang","price","cathol","palestinian","brazil","work","new","obama","hous","migrant","medic","test","blasio","univers","farmer","voter","south","govern","turner","back","beij","year","team","kill","mexican","citi","murphi","wear","san","facebook","cloud","theater","week","said","case","vehicl","invest","london","open","castro","templ","sport","south","novel","can","year","pound","vietnam","white","mrs","apart","run","album","sleep","like","rule","african","work","mother","tree","colorado","seri","transgend","danc","last","hit","jew","can","year","univers","tax","test","woman","plane","citi","polit","market","cruz","time","peopl","imag","org","scott","play","und","author","moon","philippin","grape"
"french","make","review","director","case","includ","life","offici","pay","islam","andrew","gas","clark","christian","egypt","impeach","artist","cuomo","presid","wall","europ","patient","athlet","organ","peopl","produc","deleg","nuclear","russian","stack","like","hong","citi","play","said","spain","time","colombia","brand","california","social","bag","broadway","last","kill","sentenc","drive","financi","britain","street","havana","tiger","play","sudan","read","app","select","eat","armenian","histori","campaign","home","miller","band","minut","even","govern","countri","labor","father","speci","evan","episod","carolina","work","one","season","german","think","million","colleg","bank","vehicl","sex","airlin","level","elect","year","senat","articl","oil","pictur","may","first","season","ein","haiti","physic","ship","vineyard"
"franc","like","will","direct","suprem","trip","stori","statement","fund","yemen","drug","power","ackman","franci","egyptian","corrupt","paint","york","american","floor","european","drug","mosquito","fund","found","crop","percent","korean","said","button","time","kong","local","season","islam","spanish","brooklyn","farc","dress","william","video","use","music","new","shoot","year","train","fund","union","shop","obama","thailand","leagu","air","writer","comput","first","bodi","veteran","america","polit","citi","time","record","question","mani","right","unit","employ","year","cat","use","season","north","opera","recent","two","japanes","peopl","said","educ","document","unit","girl","passeng","environment","leader","economi","campaign","page","fort","photo","art","golf","first","von","revenu","earth","boat","tast"
"terrorist","eat","critic","play","lawyer","room","feel","offic","debt","arab","call","coal","squar","pope","cairo","vote","exhibit","wage","countri","build","germani","doctor","vaccin","campaign","professor","label","elect","kim","syrian","blackout","just","taiwan","villag","coach","attack","border","island","jungl","collect","francisco","news","ring","perform","month","arrest","court","station","firm","cameron","citi","american","nepal","game","henri","publish","phone","round","diet","azerbaijan","african","support","street","train","play","health","will","requir","mission","union","son","human","crystal","network","right","ballet","becaus","first","japan","just","market","year","panama","therano","sexual","air","test","presid","price","parti","journalist","damag","camera","com","master","team","das","general","wave","australia","flavor"
"belgian","can","event","charact","rule","offer","world","agenc","billion","war","tumor","plant","simpson","faith","secur","brazilian","show","minimum","nation","space","countri","hospit","case","rais","human","product","win","missil","group","loot","first","offici","home","player","state","drug","manhattan","traffick","like","brown","twitter","bodi","product","plan","two","prosecutor","ride","investor","europ","drink","state","delhi","world","pet","author","googl","team","fat","karabakh","racial","senat","develop","derbi","princ","help","make","bill","general","employe","home","park","denver","broadcast","discrimin","dancer","call","pitch","nazi","want","new","high","offshor","cheat","femal","travel","use","countri","econom","donald","editori","area","model","sunday","hole","score","war","new","star","south","fruit"
"polic","chicken","follow","hollywood","decis","can","charact","case","cost","countri","patient","natur","pearson","god","italian","temer","galleri","senat","foreign","garden","greec","peopl","dope","new","new","organ","democrat","said","state","judith","befor","revolut","live","first","group","expert","day","crew","look","moor","onlin","box","hamilton","announc","gun","trial","truck","deal","leav","chef","visit","countri","soccer","argentin","stori","technolog","season","food","penn","divers","berni","new","marathon","sing","everi","onli","feder","western","wage","live","natur","campbel","fox","law","new","now","yanke","poland","don","sale","class","firm","dealer","male","crash","flint","protest","growth","candid","reader","build","face","saturday","round","second","sie","disabl","system","australian","red"
"said","dish","prize","documentari","appeal","guest","word","ani","budget","group","blood","electr","discount","roman","two","senat","new","assembl","iran","open","border","insur","infect","donat","use","agricultur","poll","test","rebel","dash","night","peopl","peopl","basketbal","iraq","agent","park","group","cloth","calif","peopl","eye","actor","next","man","crime","transport","billion","irish","store","miami","thai","match","macri","wrote","data","receiv","drink","brien","john","democrat","estat","runner","perform","expert","much","protect","republ","trade","parent","wildlif","dear","comedi","bathroom","compani","want","met","world","say","product","teacher","paper","mitsubishi","gender","fli","air","power","oil","presidenti","stori","offici","look","center","play","island","den","secur","planet","fish","region"
"bomb","tast","work","actor","hear","tour","love","comment","govern","gulf","bone","fuel","pharmaceut","vatican","itali","parti","collect","libya","world","two","german","diseas","olymp","group","scienc","milk","primari","weapon","war","super","look","cultur","communiti","second","offici","antonio","queen","colombian","new","davi","messag","like","stage","day","citi","convict","bus","manag","ireland","place","presid","bangkok","year","bueno","work","devic","play","loss","levinson","nation","hillari","neighborhood","record","singer","parent","may","new","intern","class","die","lion","legal","night","gender","compos","group","inning","germani","know","execut","graduat","leak","model","say","aircraft","resid","minist","report","polit","news","earthquak","taken","free","shot","two","sich","oblig","univers","coast","great"
