"Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25","Topic 26","Topic 27","Topic 28","Topic 29","Topic 30","Topic 31","Topic 32","Topic 33","Topic 34","Topic 35","Topic 36","Topic 37","Topic 38","Topic 39","Topic 40","Topic 41","Topic 42","Topic 43","Topic 44","Topic 45","Topic 46","Topic 47","Topic 48","Topic 49","Topic 50","Topic 51","Topic 52","Topic 53","Topic 54","Topic 55","Topic 56","Topic 57","Topic 58","Topic 59","Topic 60","Topic 61","Topic 62","Topic 63","Topic 64","Topic 65","Topic 66","Topic 67","Topic 68","Topic 69","Topic 70","Topic 71","Topic 72","Topic 73","Topic 74","Topic 75","Topic 76","Topic 77","Topic 78","Topic 79","Topic 80","Topic 81","Topic 82","Topic 83","Topic 84","Topic 85","Topic 86","Topic 87","Topic 88","Topic 89","Topic 90","Topic 91","Topic 92","Topic 93","Topic 94","Topic 95","Topic 96","Topic 97","Topic 98","Topic 99","Topic 100"
"one","said","appl","european","anim","said","health","india","state","play","said","wine","clinton","like","drug","read","year","film","april","one","one","school","said","music","percent","turkey","said","art","fire","presid","music","book","film","attack","compani","one","energi","american","design","car","princ","game","tax","restaur","can","case","sea","shelter","north","said","china","water","new","compani","trump","said","church","iran","one","media","protest","citi","hotel","build","obama","court","unit","refuge","player","studi","app","card","said","danc","die","space","compani","award","vote","product","cancer","debt","game","polic","cook","watch","said","race","compani","game","said","women","die","said","children","russia","art","hamilton","israel","editor"
"cultur","one","data","parti","said","lundqvist","patient","indian","militari","charact","hong","like","sander","one","prison","editor","said","movi","org","day","said","student","year","song","market","said","muslim","museum","said","parti","theater","write","movi","brussel","million","rosenberg","climat","peopl","fashion","said","taylor","goal","state","bar","like","offic","island","homeless","nuclear","syria","chines","said","york","tax","republican","peopl","cathol","said","like","post","egypt","said","room","hous","cuba","judg","state","migrant","team","research","can","use","prison","music","der","one","deal","prize","state","compani","cell","puerto","point","said","recip","said","report","hors","said","run","govern","law","famili","athlet","famili","russian","said","american","isra","time"
"game","day","compani","britain","dog","like","medic","pakistan","islam","show","kong","grape","mrs","skin","marijuana","war","comic","direct","street","back","pitsiladi","univers","work","album","price","turkish","group","artist","fort","rousseff","will","novel","show","pari","money","year","chang","black","wear","driver","album","play","worker","chef","think","said","ship","one","korea","govern","beij","lead","citi","said","cruz","earthquak","franci","flight","friend","facebook","polic","mayor","hous","citi","cuban","justic","said","turkey","leagu","health","use","time","sentenc","perform","und","like","said","baker","voter","said","diseas","rico","team","offic","food","brand","investig","one","amazon","season","mexico","sex","father","sport","parent","putin","sale","presid","palestinian","articl"
"like","year","technolog","british","tree","one","care","taliban","iraq","like","cloud","also","campaign","use","crime","time","batman","play","may","like","war","colleg","peopl","band","rate","erdogan","right","work","oil","govern","show","read","festiv","said","fund","like","coal","percent","like","citi","music","first","job","street","peopl","court","china","like","south","syrian","govern","state","time","bank","said","build","pope","plane","said","news","egyptian","state","includ","said","presid","senat","nation","european","play","well","phone","border","year","work","ein","time","firm","play","deleg","use","said","bond","play","year","make","year","polic","year","execut","hit","kill","men","year","olymp","mother","ukrain","work","histori","said","reader"
"revolut","mali","comput","union","year","chess","hospit","afghan","forc","one","letter","produc","democrat","can","state","editori","lin","star","art","year","year","educ","want","record","year","kurdish","govern","exhibit","mcmurray","said","broadway","stori","like","french","invest","french","power","white","dress","vehicl","beyonc","season","year","open","just","lawyer","boat","year","korean","group","said","test","brooklyn","panama","campaign","damag","christian","iranian","ask","twitter","said","new","home","apart","said","law","obama","europ","year","said","screen","fee","court","ballet","das","will","execut","black","elect","store","zika","said","season","kill","can","luxuri","offici","baltimor","servic","yanke","polic","gay","son","fifa","child","war","auction","white","jewish","stori"
"mao","lion","use","london","bird","day","doctor","afghanistan","said","episod","year","vineyard","senat","erdogan","law","world","first","new","com","two","karadz","said","like","play","oil","state","islam","paint","sand","elect","perform","writer","one","polic","year","also","gas","mani","new","train","song","score","wage","like","one","charg","said","first","kim","rebel","state","car","island","document","parti","citi","said","airlin","day","social","govern","blasio","two","new","state","suprem","presid","greec","game","weight","travel","can","australia","opera","von","can","billion","show","democrat","market","virus","govern","said","gun","like","new","author","american","googl","inning","investig","right","born","world","can","moscow","million","hous","jew","public"
"minecraft","wagner","inform","minist","forest","penguin","drug","said","american","love","two","can","hillari","also","year","can","time","one","sunday","live","human","year","get","like","economi","istanbul","organ","galleri","canada","polit","new","publish","new","belgian","said","day","will","year","collect","drive","stream","second","pay","new","get","judg","south","live","said","kill","taiwan","year","park","offshor","donald","quak","religi","crash","just","said","cairo","york","floor","develop","american","republican","countri","said","sport","peopl","devic","bank","govern","dancer","sie","univers","will","film","republican","food","research","million","coach","shoot","eat","one","case","run","will","two","militari","state","said","year","live","presid","dealer","new","attack","new"
"show","ivori","secur","said","speci","eye","insur","govern","iraqi","season","part","one","presid","face","sentenc","one","can","director","saturday","look","serb","teacher","just","perform","said","group","peopl","show","citi","brazil","play","life","hollywood","franc","billion","two","bank","econom","brand","transport","lopez","playoff","will","food","make","investig","water","black","missil","state","offici","volkswagen","manhattan","money","polit","japan","vatican","passeng","get","video","demonstr","campaign","open","street","visit","said","will","countri","will","can","like","one","convict","new","den","new","sharehold","winner","win","price","infect","bank","player","murder","one","like","told","famili","year","first","countri","peopl","work","tenni","father","germani","year","will","militari","cosbi"
"play","mcdonald","softwar","prime","human","citi","treatment","countri","war","stori","one","new","berni","colbert","use","right","one","time","center","just","two","high","now","sing","growth","attack","human","new","canadian","vote","read","author","also","terrorist","financi","reagan","year","countri","look","station","releas","island","budget","menu","don","prosecutor","coast","new","test","war","foreign","use","day","leak","presidenti","kill","priest","airport","time","onlin","two","democrat","travel","rent","havana","presid","saudi","border","footbal","sleep","also","human","australian","compani","sich","year","busi","won","percent","custom","vaccin","payment","first","death","egg","market","victim","ford","busi","pitch","offic","said","later","test","life","german","new","bill","jerusalem","one"
"year","call","said","govern","will","nash","said","offici","unit","feel","qatar","year","said","new","said","page","fan","first","free","famili","congo","graduat","day","singer","quarter","indonesia","journalist","one","alberta","impeach","cultur","like","screen","airport","busi","travel","new","like","year","new","year","team","plan","citi","thing","file","fish","two","weapon","forc","parti","flint","queen","law","candid","report","god","say","love","time","secur","governor","guest","will","castro","rule","foreign","germani","coach","run","get","payment","charg","orchestra","ich","earth","corpor","work","poll","consum","health","island","basketbal","shot","good","gold","abus","austen","chief","met","bangladesh","gender","daughter","dope","kid","state","collector","nation","soldier","report"
